id,position,company
755,Research And Development Associate,Level Solar
756,Engineering Coordinator,SunBlue Energy
757,Sports Photo Editor,The Student Newspaper (Bates College Newspaper)
758,Summer Intern,SunBlue Energy
759,Tennis Instructor,Coveleigh Country Club
760,Lifeguard,Coveleigh Country Club
761,Senior C++ Developer - Market Data,Fidessa
762,.Net Developer,Procurestaff
763,Web Developer,NY Health Department
764,Software Engineer ,JPMorgan Chase & Co.
765,Software Engineer Intern,JPMorgan Chase & Co.
766,Software Engineer,LiveRamp
767,Product Operations Manager,LiveRamp
768,Technology Summer Analyst,Credit Suisse
769,FP&A Intern,PayPal
770,Data and Strategy Intern,SpoonRocket
771,CBD Educator,HempWorxIntl
772,Entrepreneur,Jamberry Nails
773,Software Engineer II,Arena
774,Lead Full Stack Developer,Neighborhood Trust Financial Partners
775,"Software Developer (Java, Oracle) IV",Paychex
776,Senior Programmer,Dovetail Systems
777,Outstanding Developer / Senior Software Developer,iAmplify
778,Senior Integra Software Developer - Java,Applimation
779,Software Analyst II - Level 2,Navisys
780,Senior Systems Engineer,EBS Dealing Resources
781,*********** Top Gun Consultant ***** (beginning of my IT career) **************,Chubb Computer Services
782,"Contract Research And Development Analyst, Senior Service Consultant, Team Service Representative",Horizon Blue Cross Blue Shield of NJ
783,Shipping Coordinator,"NAP, Inc"
784,Cashier and Produce Clerk,"Pathmark Stores, Inc."
785,Billing Assistant,Kelly Temporary Services (Muhlenberg Hospital)
786,Teachers Aide,Douglas Psychology Child Study Center
787,Store Clerk,"Big M, Inc (Mandees)"
788,Senior Software Engineer,Attentive
789,Senior Software Engineer,DoubleVerify
790,Senior Software Development Lead,Koddi
791,Senior Software Development Lead,Criteo
792,Lead Platform Engineer,"HookLogic, Inc."
793,Lead Software Engineer,Relocation.com
794,Software Engineer,Braveline Technology
795,Technical Analyst,Standard Chartered Bank
796,Software Engineer,LinkedIn
797,Political Science Research Assistant,Colgate University
798,Senior Admission Intern - Office of Admission,Colgate University
799,Teaching Assistant for Computer Science,Colgate University
800,President of Women in Computer Science ,Colgate University
801,Summer Research Assistant,Colgate University
802,Varsity Cheerleading ,Colgate University
803,Board member of Academic Affairs Governance Board,Colgate University
804,Community Leader,Colgate University
805,First-year and Open Lab Chair for Women in Computer Science ,Colgate University
806,Software Engineer Intern,LinkedIn
807,Media & Communications Intern ,Federation of International Civil Servants' Associations (FICSA)
808,Entrepreneur,Thought into Action Entrepreneurship at Colgate
809,Public Relations Intern,The Waffle Cookie
810,Software Engineer,mParticle
811,Senior Technical Services Engineer,mParticle
812,Technical Services Engineer,mParticle
813,Data Analyst,MediaMath
814,Undergraduate Teaching Assistant,The University of Chicago
815,Software Engineer,WarnerMedia
816,Software Engineer,"NBCUniversal Media, LLC"
817,Legal Assistant,Goldberg Weprin Finkel Goldstein LLP
818,Administrator,Bizfi
819,Administrator,Apollo Global Management LLC
820,Closing File Clerk,Sills Cummis & Gross P.C.
821,Assistant To The Director,Kaled Management Corp
822,Software Engineer,US Army
823,Undergraduate Teaching Assistant,University at Buffalo
824,Software Engineering Intern,"Advanced Systems Concepts, Inc."
825,President,Undergraduate Biology Association
826,Treasurer,Undergraduate Biology Association
827,Research Coordinator,Undergraduate Biology Association
828,Staff Software Engineer,Siemens
829,Software Engineer 2,Siemens
830,Associate Consultant,Siemens
831,Senior Systems Engineer,Siemens
832,Senior Systems Engineer,Infosys Technologies Ltd
833,Software Engineer Apprentice,Google
834,Teacher Assistant,John Jay College (CUNY)
835,Intern,Stride Consulting
836,Student,Fullstack Academy
837,Intern,Workforce1
838,Sales Associate,Le District
839,Facilities Intern,Friends of the High Line
840,Park Ranger,Friends of the High Line
841,Principal Software Engineering Lead,Microsoft
842,Principal Software Engineer,Microsoft
843,Senior Technical Evangelist,Microsoft
844,Vice President,INETA North America
845,Senior Software Engineer,SpringSource
846,Senior Software Engineer,"Skiff, LLC"
847,Senior Project Manager/Software Architect,"Microdesk, Inc."
848,Chief Technology Officer,Four Digital Corporation
849,Director of Technology,"Louis Frey Company, Inc."
850,Director of Technology,FRCH Design Worldwide
851,Senior Project Manager / Project Architect / CAD and IT Manager,"Various Architecture Firms, Washington DC and New York, NY"
852,Software Engineer,Mark43
853,Application Developer,Oppenheimer & Co. Inc.
854,Jr Front End Developer,"RIMS (Risk and Insurance Management Society, Inc.)"
855,Jr Web Developer,"RIMS (Risk and Insurance Management Society, Inc.)"
856,Full Stack Developer Intern,"Serious Fun After School, Inc."
857,Full Stack Developer Intern,Nicaraguan Craft Beer Co
858,Web Developer,General Assembly
859,Front-End Developer Internship,FoSho App
860,Software Engineer,Simple Fractal
861,Software Engineer,Harmony Cloud
862,President,Columbia Photography Association
863,Product Design Intern,BNY Mellon
864,Radio Host,WKCR-FM NY 89.9
865,Software Engineer Apprentice,Thinkful
866,Technical Support Analyst,Strategic Financial Solutions NY
867,Desktop Support Intern,Marsh And Mclennan Companies Inc.
868,Cyber Security Operations Intern,Citi
869,Undergraduate Teaching Assistant,Hunter College
870,Software Engineer,2U
871,Business Analyst III,2U
872,Business Analyst II,2U
873,IT Consultant II,"Revenue Solutions, Inc."
874,IT Consultant I,"Revenue Solutions, Inc."
875,IT Enterprise Business Intelligence Reporting and Analytics Intern,TMG Health
876,Student Government Director of Technology,University of Scranton
877,Pet Sitter,Trails End Pet Sitting
878,Cashier,Navy Exchange Pax River
879,Technology Analyst Intern,JPMorgan Chase & Co.
880,Vice President,Society of Hispanic Professional Engineers - Lehman College
881,Chapter Officer,National Society of Black Engineers - Lehman College
882,Database Operations Support Aide,State of NY Metropolitan Transportation Authority
883,IT Intern,Fordham Bedford Housing Corporation
884,Accounts Receivable Clerk,Premier Group Recruitment
885,Medical Office Specialist,Community Healthcare Network
886,Software Engineer I,Disney Streaming
887,MERIT Lead Mentor,Stony Brook University College of Engineering and Applied Sciences
888,CEAS Lead Mentor,Stony Brook University College of Engineering and Applied Sciences
889,CEAS Peer Mentor,Stony Brook University College of Engineering and Applied Sciences
890,Undergraduate Teaching Assistant,Stony Brook University
891,Research Project Aide,Stony Brook University
892,Technology Analyst,Citi
893,President,Stony Brook Women in Computer Science
894,Treasurer,Stony Brook Women in Computer Science
895,Software Engineering Intern,Dotdash
896,Google Cloud Platform Student Innovator,Vaco
897,Workplace Operations Process & Systems Intern,Bloomberg LP
898,Director of Lab Operations and Safety,StuyPulse
899,Director of Field Construction,StuyPulse
900,Director of Sponsorship,StuyHacks
901,Director of Marketing,StuyHacks
902,Executive Director,StuyHacks
903,Data Analyst,Bloomberg LP
904,Computer Science Teaching Assistant,Hobart and William Smith Colleges
905,Helpdesk Support,Hobart and William Smith Colleges
906,Mathematics Research Assistant,Hobart and William Smith Colleges
907,Web Development Intern,"City Government of Geneva, NY"
908,Administrative Assistant,B&H Wholesale
909,Foundational Applications - Software Engineering Intern,Bloomberg LP
910,2016 DECA Scholar,Qualcomm
911,Internal Systems - Software Engineering Intern,Bloomberg LP
912,Data Quality Analyst Intern,Moody's Analytics
913,Fellow & Senior Member,MOUSE Corps
914,BOLD Symposium Scholar,Google
915,Director and Computer Technician Lead,BSGE MOUSE Squad
916,Information Systems Intern,Davis Polk & Wardwell LLP
917,Mozilla Ambassador,Mozilla Corporation
918,PC/Hardware Support Intern,Sullivan & Cromwell LLP
919,Fellowship/Shadowship Student,Sullivan & Cromwell LLP
920,Freelancer,David Nyman Music
921,Software Engineer,"Sigmund Software, LLC"
922,Consultant (Professional Services),Misys
923,Consultant (Software Development),Misys
924,Senior Programmer Analyst,Misys
925,Project Leader (FX Orders Web Application),Misys
926,Project Leader (Derivatives),Misys
927,Senior Software Engineer,Insight
928,Associate Software Engineer,BlueMetal Inc.
929,Teaching Consultant,Dev Bootcamp
930,Head Bartender,West Gate Lounge
931,Assistant Manager,Best Western Nyack on Hudson
932,Front Desk Agent / Concierge,Banana Bay Resort and Marina
933,IT Technician,The University of Tampa
934,Lead Software Engineer,SpinCar®
935,Software Engineer,SpinCar®
936,Teaching Assistant,NYU Tandon School of Engineering
937,Intern Engineer,Ericsson
938,Software Engineer,Interactive Brokers
939,Software Developer summer intern,Ericsson Mediaroom
940,Software Engineering Intern,"FactSet Research Systems, Inc."
941,"CEO, Software Engineer, Holistic Health Practitioner",Equilibrium Holistic Solutions Inc
942,Holistic Healer,Equilibrium Holistic Health 
943,Software Engineer,Jet
944,Sales Director,O2living
945,CMO,Gourmet Guru Inc
946,Legal Assistant (Law Firm),Waselius & Wist
947,Intern,"Permanent Mission of Finland to the United Nations, New York"
948,Office Manager,David Feldman Worldwide
949,Sales Support Administrative Assistant & Marketing Liason,Veritext
950,Production Assistant,The X-Factor
951,File Clerk,DHL GLOBAL FORWARDING
952,Administrator,Subtle Asian Tech
953,Web Developer,NASA - National Aeronautics and Space Administration
954,Cybersecurity Tech Fellow,CodePath.org
955,Mentee,BUILT BY GIRLS
956,Software Engineer Intern,Liberty Mutual Insurance
957,Computer Science Tutor,CUNY K16 Initiatives
958,Mentee,Google
959,Data Science Intern,Moody's Corporation
960,Software Engineer Intern,WHIM
961,Web Development Fellow,NYC Tech Talent Pipeline
962,Teacher's Assistant,Chinese-American Planning Council
963,Head Programmer,Midwood Robotics
964,Graduate Research Assistant,University at Buffalo School of Engineering and Applied Sciences
965,Software Engineer Intern,Tata Consultancy Services
966,Undergraduate Research Assistant,Heritage Institute of Technology
967,Summer Research Intern,NJIT Ying Wu College Of Computing
968,Machine Learning Intern,"Indian Institute of Technology, Kharagpur"
969,Software Engineer Intern,"Indian Institute of Technology, Kharagpur"
970,Lead UI Developer,Wells Fargo Sec
971,Senior Consultant,"District Attorney's Office, NY"
972,Consultant,Morgan Stanley
973,Consultant,Bank of America
974,Consultant,Credit Suisse
975,Consultant,"EDIMS, LLC"
976,Consultant,T-Mobile
977,Software Engineer,Kind Systems LLC
978,Associate,Goldman Sachs
979,Technology Analyst,Goldman Sachs
980,Summer Technology Analyst,Goldman Sachs
981,Software Padawan,Payoff
982,Engineering Intern,Payoff
983,Senior TA,Girls Who Code
984,Information Technology Advisor,University of Pennsylvania College House Computing
985,Game Art and Design Intern,"iMod Digital (Shanghai) Co., Ltd 乐多数码科技（上海）有限公司"
986,Leadercorp,USTA Billie Jean King National Tennis Center
987,DevOps Automation Engineer I,Stelligent
988,Volunteer Math Tutor,Reading Partners
989,Information Security Engineer,The Associated Press
990,Software Engineer,SKOUT CYBERSECURITY
991,Cyber DevOps Engineer,SKOUT CYBERSECURITY
992,Inventory Manager,SKOUT CYBERSECURITY
993,SOC Developer,SKOUT CYBERSECURITY
994,Software Developer,Patientco
995,Team Leader,Georgia Institute of Technology
996,Pharmaceutical Technician,Central Pharmacy
997,Software Test Engineer,Viacom
998,Associate Software Test Engineer,Viacom
999,Summer Associate,Viacom
1000,Clarifai Champion,Clarifai
1001,Peer Advisor,Watson Advising
1002,Student Assistant,Watson Advising
1003,Software Evaluation Intern,Watson Advising
1004,DJ,Amazing Music 607
1005,Summer Associate,Artivest
1006,Coaching Program Intern,Major League Hacking
1007,Busser,Number 5 Restaurant
1008,Software Engineer,Linear Financial Technologies
1009,Software Developer,"Schultheis & Panettieri, LLP"
1010,Application Developer,Black Knight Financial Services
1011,Research Assistant,PRISM
1012,Tech Support,NYC Department of Education
1013,Tutor Counselor,Math & Science Resource Center
1014,Principal Instructor/TA,John Jay Upward Bound Program
1015,Software Engineer III,Nextiva
1016,Software Developer,PIXACORE
